"Date (Y-m-d)",Year,Month,Day,Time,Title,Caller,Channel,Length
2012-03-11,2012,03,11,15:35:24,Cholera1,ninsiimadaniel,skype,229
2012-03-11,2012,03,11,15:31:30,Cholera1,ninsiimadaniel,skype,65
2012-03-11,2012,03,11,15:26:56,Cholera1,ninsiimadaniel,skype,109
2012-03-11,2012,03,11,10:57:34,Cholera1,ninsiimadaniel,skype,176
2012-03-10,2012,03,10,09:13:10,Cholera1,ninsiimadaniel,skype,27
2012-03-04,2012,03,04,10:26:28,Cholera1,555666,skype,44
2012-03-01,2012,03,01,11:23:32,Cholera1,555666,skype,5
2012-02-29,2012,02,29,15:24:42,Cholera1,555666,skype,67
2012-02-28,2012,02,28,16:10:23,Cholera1,555666,skype,78
2012-02-27,2012,02,27,01:43:06,Cholera1,555666,skype,93
2012-02-21,2012,02,21,10:13:51,Cholera1,555666,skype,335
2012-02-21,2012,02,21,10:11:51,Cholera1,555666,skype,109
2012-02-18,2012,02,18,13:38:27,Cholera1,555666,skype,54
2012-02-17,2012,02,17,05:29:01,Cholera1,555666,skype,70
2012-02-17,2012,02,17,05:23:27,Cholera1,555666,skype,50
2012-02-17,2012,02,17,05:13:08,Cholera1,555666,skype,240
2012-02-07,2012,02,07,22:43:53,Cholera1,555666,skype,49
2012-02-07,2012,02,07,22:41:59,Cholera1,555666,skype,108
2012-02-02,2012,02,02,03:55:19,Cholera1,555666,skype,0
2012-02-02,2012,02,02,03:55:19,Cholera1,555666,skype,0


